Week starting,App,Downloads,Install Base,Open Rate,Retention D1,Retention D7,Retention D30,Active Users,Total Minutes,Avg Sessions Per User,Avg Session Duration,Avg Time Per User,Avg Active Days              
6/17/2016,Rhine,23781,1765914,7.79%,n/a,n/a,n/a,137562,541725,4.51,00:00:53,00:03:56,1.89
6/24/2016,Rhine,23348,1233461,8.15%,n/a,n/a,n/a,100493,539114,6.35,00:00:51,00:05:22,n/a
7/1/2016,Rhine,22451,1496423,8.97%,n/a,n/a,n/a,134163,432690,4.15,00:00:47,00:03:14,1.46
7/8/2016,Rhine,20577,1247342,7.84%,n/a,n/a,n/a,97803,346473,3.36,00:01:03,00:03:33,n/a
7/15/2016,Rhine,20308,1521777,8.61%,n/a,n/a,n/a,130973,934486,5.56,00:01:16,00:07:08,1.91
7/22/2016,Rhine,18453,1492079,8.80%,n/a,n/a,n/a,131374,806987,4.6,00:01:13,00:06:09,1.46
7/29/2016,Rhine,17360,1164120,8.41%,n/a,n/a,n/a,97906,n/a,n/a,n/a,n/a,n/a
8/5/2016,Rhine,16789,1495698,8.20%,n/a,n/a,n/a,122646,1123115,7.02,00:01:18,00:09:09,1.21
8/12/2016,Rhine,17343,1285182,10.49%,n/a,n/a,n/a,134762,332078,3.58,00:00:41,00:02:28,1.35
8/19/2016,Rhine,17875,1305994,6.61%,n/a,n/a,n/a,86389,610307,3.4,00:02:05,00:07:04,n/a
8/26/2016,Rhine,18608,1551189,7.38%,n/a,n/a,n/a,114489,658346,3.4,00:01:46,00:05:45,1.41
9/2/2016,Rhine,19197,1018622,9.02%,n/a,n/a,n/a,91927,1025164,4.6,00:02:25,00:11:09,n/a
9/9/2016,Rhine,20888,1229227,11.34%,n/a,n/a,n/a,139427,630417,5.39,00:00:50,00:04:31,1.88
9/16/2016,Rhine,20782,1259364,6.80%,n/a,n/a,n/a,85628,n/a,n/a,n/a,n/a,n/a
9/23/2016,Rhine,20145,1282910,9.63%,n/a,n/a,n/a,123578,389149,3.74,00:00:51,00:03:09,1.76
9/30/2016,Rhine,17890,1244872,10.08%,n/a,n/a,n/a,125436,644616,4.89,00:01:03,00:05:08,2.07
10/7/2016,Rhine,18474,1158296,7.75%,n/a,n/a,n/a,89797,n/a,n/a,n/a,n/a,n/a
10/14/2016,Rhine,17963,981134,6.28%,n/a,n/a,n/a,131005,712353,2.44,00:02:31,00:05:26,1.81
10/21/2016,Rhine,20788,1079423,8.30%,n/a,n/a,n/a,89646,n/a,n/a,n/a,n/a,n/a
10/28/2016,Rhine,17703,1421261,8.64%,n/a,n/a,n/a,122839,264342,3.08,00:00:42,00:02:09,1.55
11/4/2016,Rhine,15741,1438514,8.29%,n/a,n/a,n/a,,544120,5.44,00:00:50,00:04:34,1.79
11/11/2016,Rhine,15714,1103459,7.63%,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
11/18/2016,Rhine,14571,1111054,4.90%,n/a,n/a,n/a,,413137,3.99,00:00:54,00:03:34,1.44
11/25/2016,Rhine,13920,970682,5.55%,n/a,n/a,n/a,,424430,3.87,00:00:57,00:03:42,1.77
12/2/2016,Rhine,14367,1209720,6.10%,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
12/9/2016,Rhine,14152,1081139,10.75%,n/a,n/a,n/a,,674099,3.81,00:01:31,00:05:48,1.49
12/16/2016,Rhine,14097,1010621,7.58%,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
12/23/2016,Rhine,13917,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
1/1/2016,Seine,1128098,102373163,71.21%,57.96%,41.11%,35.96%,72902766,14329924202,118.93,00:01:35,03:16:34,4.98
